id,name,gender,yearOfBirth,birthCity,birthState,yearOfDeath,deathCity,deathState,url
1580,"Marin, John",None,1870,Rutherford,United States,1953,Addison,United States,http://www.tate.org.uk/art/artists/john-marin-1580
1581,"Marini, Marino",None,1901,Pistoia,Italia,1980,Viareggio,Italia,http://www.tate.org.uk/art/artists/marino-marini-1581
2533,"Marks, Henry Stacy",None,1829,London,United Kingdom,1898,Unknown,Unknown,http://www.tate.org.uk/art/artists/henry-stacy-marks-2533
1582,"Markson, Helena",None,1934,London,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/helena-markson-1582
368,"Marlow, William",None,1740,London,United Kingdom,1813,Twickenham,United Kingdom,http://www.tate.org.uk/art/artists/william-marlow-368
2332,"Marquet, Albert",None,1875,Bordeaux,France,1947,Paris,France,http://www.tate.org.uk/art/artists/albert-marquet-2332
369,"Marshall, Benjamin",None,1768,Leicestershire,United Kingdom,1835,London,United Kingdom,http://www.tate.org.uk/art/artists/benjamin-marshall-369
8806,"Marshall, William",None,1923,Cornwall,United Kingdom,2007,Hayle,Unknown,http://www.tate.org.uk/art/artists/william-marshall-8806
370,"Marshall, William Calder",None,1813,Edinburgh,United Kingdom,1894,London,United Kingdom,http://www.tate.org.uk/art/artists/william-calder-marshall-370
2515,"Marsingall, A",None,1800,Unknown,Unknown,1899,Unknown,Unknown,http://www.tate.org.uk/art/artists/a-marsingall-2515
1583,"Martin, Agnes",None,1912,Canada,Unknown,2004,Unknown,Unknown,http://www.tate.org.uk/art/artists/agnes-martin-1583
15125,"Martin, Anne",None,1936,London,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/anne-martin-15125
2746,"Martin, Barry",None,1943,Amersham,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/barry-martin-2746
2441,"Martin, Charles",None,1812,Unknown,Unknown,1906,Unknown,Unknown,http://www.tate.org.uk/art/artists/charles-martin-2441
6591,"Martin, Daria",None,1973,Unknown,Unknown,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/daria-martin-6591
2442,"Martin, Elias",None,1739,Stockholm,Unknown,1818,Sverige,Unknown,http://www.tate.org.uk/art/artists/elias-martin-2442
1584,"Martin, Frank",None,1921,London,United Kingdom,2005,Unknown,Unknown,http://www.tate.org.uk/art/artists/frank-martin-1584
2581,"Martin, J., of Canterbury",None,1800,Unknown,Unknown,1899,Unknown,Unknown,http://www.tate.org.uk/art/artists/j-martin-of-canterbury-2581
371,"Martin, John",None,1789,Haydon Bridge,United Kingdom,1854,Douglas,Unknown,http://www.tate.org.uk/art/artists/john-martin-371
1585,"Martin, Kenneth",None,1905,Sheffield,United Kingdom,1984,Unknown,Unknown,http://www.tate.org.uk/art/artists/kenneth-martin-1585
1586,"Martin, Mary",None,1907,Folkestone,United Kingdom,1969,Unknown,Unknown,http://www.tate.org.uk/art/artists/mary-martin-1586
8897,"Martin, Simon",None,1965,Cheshire,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/simon-martin-8897
11358,"Martinat Mendoza, Jose Carlos",None,1974,Perú,Unknown,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/jose-carlos-martinat-mendoza-11358
372,"Martineau, Robert Braithwaite",None,1826,London,United Kingdom,1869,Unknown,Unknown,http://www.tate.org.uk/art/artists/robert-braithwaite-martineau-372
2338,"Martini, Arturo",None,1889,Treviso,Italia,1947,Milano,Italia,http://www.tate.org.uk/art/artists/arturo-martini-2338
14609,Marwan (Marwan Kassab Bachi),None,1934,Suriyah,Unknown,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/marwan-marwan-kassab-bachi-14609
1587,"Marx, Enid",None,1902,London,United Kingdom,1998,Islington,United Kingdom,http://www.tate.org.uk/art/artists/enid-marx-1587
2271,"Masi, Denis",None,1942,West Virginia,United States,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/denis-masi-2271
1588,"Mason, Arnold",None,1885,Birkenhead,United Kingdom,1963,London,United Kingdom,http://www.tate.org.uk/art/artists/arnold-mason-1588
373,"Mason, George",None,1818,Witley,United Kingdom,1872,Unknown,Unknown,http://www.tate.org.uk/art/artists/george-mason-373
1589,"Mason, Raymond",None,1922,Birmingham,United Kingdom,2010,Unknown,Unknown,http://www.tate.org.uk/art/artists/raymond-mason-1589
1590,"Masson, André",None,1896,Haute-Corse,France,1987,Paris,France,http://www.tate.org.uk/art/artists/andre-masson-1590
